"loss","learning_rate","epoch","perplexity","steps","samples"
1.5557,5e-05,0.06,4.738402246093971,3450,27600
1.555,5e-05,0.06,4.735086525159423,3450,27600
1.5447,5e-05,0.06,4.686565446471535,3500,28000
1.5435,5e-05,0.06,4.680944940913565,3500,28000
1.6166,5e-05,0.06,5.035938983276586,3550,28400
1.6156,5e-05,0.06,5.030905561423688,3550,28400
1.5427,5e-05,0.06,4.6772016824638545,3600,28800
1.5426,5e-05,0.06,4.676733985680837,3600,28800
1.5803,5e-05,0.06,4.8564125164756655,3650,29200
1.5802,5e-05,0.06,4.8559268995052705,3650,29200
1.5786,5e-05,0.06,4.84816362873884,3700,29600
1.5786,5e-05,0.06,4.84816362873884,3700,29600
1.5688,5e-05,0.06,4.800883675345448,3750,30000
1.5689,5e-05,0.06,4.801363787718201,3750,30000
1.5816,5e-05,0.07,4.862729958194493,3800,30400
1.5809,5e-05,0.07,4.85932723831466,3800,30400
1.5352,5e-05,0.07,4.64225388789265,3850,30800
1.4919,5e-05,0.07,4.445534014521933,3900,31200
1.5609,5e-05,0.07,4.763106112159409,3950,31600
1.5215,5e-05,0.07,4.579088679261059,4000,32000
1.4915,5e-05,0.07,4.443756156511432,4050,32400
1.5549,5e-05,0.07,4.734613040181551,4100,32800
1.514,5e-05,0.07,4.5448739796713165,4150,33200
1.493,5e-05,0.07,4.450426792472426,4200,33600
1.4401,5e-05,0.07,4.2211179076824346,4250,34000
1.515,5e-05,0.07,4.549421126845645,4300,34400
1.5425,5e-05,0.08,4.67626633566516,4350,34800
1.5287,5e-05,0.08,4.612177093099732,4400,35200
1.4446,5e-05,0.08,4.2401557412662365,4450,35600
1.5677,5e-05,0.08,4.795605606772488,4500,36000
1.4995,5e-05,0.08,4.479448785920673,4550,36400
1.4612,5e-05,0.08,4.311129781310569,4600,36800
1.4903,5e-05,0.08,4.438426847348632,4650,37200
1.4749,5e-05,0.08,4.370598691206916,4700,37600
1.4094,5e-05,0.08,4.093498567953274,4750,38000
1.4929,5e-05,0.08,4.44998177204457,4800,38400
1.4306,5e-05,0.08,4.181207163754711,4850,38800
1.4579,5e-05,0.08,4.29692650133368,4900,39200
1.4711,5e-05,0.09,4.354021931970241,4950,39600
1.4894,5e-05,0.09,4.434434060209744,5000,40000
1.4684,5e-05,0.09,4.34228192889013,5050,40400
1.4127,5e-05,0.09,4.1070294268654735,5100,40800
1.4637,5e-05,0.09,4.321921089278333,5150,41200
1.3834,5e-05,0.09,3.9884392940200404,5200,41600
1.5066,5e-05,0.09,4.511366044489658,5250,42000
1.4304,5e-05,0.09,4.180371005940527,5300,42400
1.475,5e-05,0.09,4.371035772929758,5350,42800
1.3903,5e-05,0.09,4.016054688696421,5400,43200
1.4508,5e-05,0.09,4.266526371341456,5450,43600
1.3655,5e-05,0.1,3.917681403065687,5500,44000
1.3826,5e-05,0.1,3.9852498185451197,5550,44400
1.4089,5e-05,0.1,4.091452330271348,5600,44800
1.4024,5e-05,0.1,4.064944135089796,5650,45200
1.4043,5e-05,0.1,4.072674870819747,5700,45600
1.4181,5e-05,0.1,4.129267374190137,5750,46000
1.4,5e-05,0.1,4.0551999668446745,5800,46400
1.4226,5e-05,0.1,4.147890948990021,5850,46800
1.389,5e-05,0.1,4.01083720969726,5900,47200
1.3983,5e-05,0.1,4.048311983345869,5950,47600
1.4508,5e-05,0.1,4.266526371341456,6000,48000
