"loss","learning_rate","epoch","perplexity","steps","samples","model"
1.3722,5e-05,0.15,3.94401799753697,8400,67200,"PolyCoder"
1.3707,5e-05,0.15,3.938106405343233,8450,67600,"PolyCoder"
1.3726,5e-05,0.15,3.945595920299498,8500,68000,"PolyCoder"
1.3503,5e-05,0.15,3.858582931957692,8550,68400,"PolyCoder"
1.3811,5e-05,0.15,3.9792764249824852,8600,68800,"PolyCoder"
1.3062,5e-05,0.15,3.692116976815983,8650,69200,"PolyCoder"
1.3682,5e-05,0.15,3.928273435663313,8700,69600,"PolyCoder"
1.4087,5e-05,0.15,4.090634121628885,8750,70000,"PolyCoder"
1.3968,5e-05,0.15,4.04224406744551,8800,70400,"PolyCoder"
1.3588,5e-05,0.15,3.8915206739704704,8850,70800,"PolyCoder"
1.3462,5e-05,0.15,3.8427951290487035,8900,71200,"PolyCoder"
1.4132,5e-05,0.15,4.109083455043158,8950,71600,"PolyCoder"
1.3442,5e-05,0.16,3.8351172192596983,9000,72000,"PolyCoder"
1.3718,5e-05,0.16,3.942440705817329,9050,72400,"PolyCoder"
1.4373,5e-05,0.16,4.209315308890264,9100,72800,"PolyCoder"
1.3356,5e-05,0.16,3.8022766281232117,9150,73200,"PolyCoder"
1.4037,5e-05,0.16,4.070231998832138,9200,73600,"PolyCoder"
1.3275,5e-05,0.16,3.7716025850201285,9250,74000,"PolyCoder"
1.3062,5e-05,0.16,3.692116976815983,9300,74400,"PolyCoder"
1.3265,5e-05,0.16,3.7678328676079578,9350,74800,"PolyCoder"
1.3619,5e-05,0.16,3.9036031061536502,9400,75200,"PolyCoder"
1.3628,5e-05,0.16,3.907117930382841,9450,75600,"PolyCoder"
1.2672,5e-05,0.16,3.550896120704112,9500,76000,"PolyCoder"
1.3365,5e-05,0.17,3.805700217472638,9550,76400,"PolyCoder"
1.3001,5e-05,0.17,3.6696636156331013,9600,76800,"PolyCoder"
1.3036,5e-05,0.17,3.6825299412232284,9650,77200,"PolyCoder"
1.2947,5e-05,0.17,3.6499008396274197,9700,77600,"PolyCoder"
1.3211,5e-05,0.17,3.7475414063764267,9750,78000,"PolyCoder"
1.3084,5e-05,0.17,3.7002485756439443,9800,78400,"PolyCoder"
1.2969,5e-05,0.17,3.6579394607155535,9850,78800,"PolyCoder"
1.3004,5e-05,0.17,3.670764679869168,9900,79200,"PolyCoder"
1.3187,5e-05,0.17,3.738558091291216,9950,79600,"PolyCoder"
1.3042,5e-05,0.17,3.684740122175943,10000,80000,"PolyCoder"
1.3115,5e-05,0.17,3.7117371443094456,10050,80400,"PolyCoder"
1.2897,5e-05,0.17,3.6316968832451324,10100,80800,"PolyCoder"
1.2786,5e-05,0.18,3.5916079530161276,10150,81200,"PolyCoder"
1.3164,5e-05,0.18,3.7299692885905826,10200,81600,"PolyCoder"
1.2775,5e-05,0.18,3.5876593563941026,10250,82000,"PolyCoder"
1.2966,5e-05,0.18,3.656842243468155,10300,82400,"PolyCoder"
1.3386,5e-05,0.18,3.8137005853754933,10350,82800,"PolyCoder"
1.2882,5e-05,0.18,3.626253421537194,10400,83200,"PolyCoder"
1.2782,5e-05,0.18,3.590171597125251,10450,83600,"PolyCoder"
1.3677,5e-05,0.18,3.9263097898978314,10500,84000,"PolyCoder"
1.2851,5e-05,0.18,3.6150294420871116,10550,84400,"PolyCoder"
1.2527,5e-05,0.18,3.499779617204871,10600,84800,"PolyCoder"
1.276,5e-05,0.18,3.5822819014589853,10650,85200,"PolyCoder"
1.2912,5e-05,0.18,3.637148516272589,10700,85600,"PolyCoder"
1.2797,5e-05,0.19,3.595560895484215,10750,86000,"PolyCoder"
1.2675,5e-05,0.19,3.5519615493466286,10800,86400,"PolyCoder"
1.2632,5e-05,0.19,3.536720905551882,10850,86800,"PolyCoder"
1.2941,5e-05,0.19,3.647711555974418,10900,87200,"PolyCoder"
1.3179,5e-05,0.19,3.735568440837813,10950,87600,"PolyCoder"
1.2869,5e-05,0.19,3.621542354945955,11000,88000,"PolyCoder"
