"loss","learning_rate","epoch","perplexity","steps","samples","model"
1.6642,5e-05,0.54,5.2814464021254395,7850,251200,"GPT2-Medium"
1.7005,5e-05,0.55,5.476685049780541,7900,252800,"GPT2-Medium"
1.6757,5e-05,0.55,5.342533613987594,7950,254400,"GPT2-Medium"
1.6907,5e-05,0.55,5.423275669707439,8000,256000,"GPT2-Medium"
1.6953,5e-05,0.56,5.448280204125942,8050,257600,"GPT2-Medium"
1.6722,5e-05,0.56,5.323867431213548,8100,259200,"GPT2-Medium"
1.7037,5e-05,0.56,5.494238512501241,8150,260800,"GPT2-Medium"
1.688,5e-05,0.57,5.408652575459991,8200,262400,"GPT2-Medium"
1.6959,5e-05,0.57,5.451550153135021,8250,264000,"GPT2-Medium"
1.644,5e-05,0.57,5.175831486683224,8300,265600,"GPT2-Medium"
1.6894,5e-05,0.58,5.416229992019582,8350,267200,"GPT2-Medium"
1.6866,5e-05,0.58,5.40108575986118,8400,268800,"GPT2-Medium"
1.6348,5e-05,0.58,5.128432208010077,8450,270400,"GPT2-Medium"
1.6497,5e-05,0.59,5.205417967522357,8500,272000,"GPT2-Medium"
1.6605,5e-05,0.59,5.2619411573925605,8550,273600,"GPT2-Medium"
1.6434,5e-05,0.59,5.172726919254581,8600,275200,"GPT2-Medium"
1.651,5e-05,0.6,5.21218941136499,8650,276800,"GPT2-Medium"
1.6815,5e-05,0.6,5.373610344348383,8700,278400,"GPT2-Medium"
1.6765,5e-05,0.6,5.346809350945528,8750,280000,"GPT2-Medium"
1.6177,5e-05,0.61,5.041481564018722,8800,281600,"GPT2-Medium"
1.6018,5e-05,0.61,4.961955911488068,8850,283200,"GPT2-Medium"
1.6331,5e-05,0.62,5.119721279643453,8900,284800,"GPT2-Medium"
1.6542,5e-05,0.62,5.228895132379433,8950,286400,"GPT2-Medium"
1.6284,5e-05,0.62,5.095715048463855,9000,288000,"GPT2-Medium"
1.6222,5e-05,0.63,5.064219352711359,9050,289600,"GPT2-Medium"
1.6607,5e-05,0.63,5.262993650869879,9100,291200,"GPT2-Medium"
1.654,5e-05,0.63,5.227849457923889,9150,292800,"GPT2-Medium"
1.6186,5e-05,0.64,5.0460209398390505,9200,294400,"GPT2-Medium"
1.6325,5e-05,0.64,5.116650368241215,9250,296000,"GPT2-Medium"
1.6347,5e-05,0.64,5.1279193904305815,9300,297600,"GPT2-Medium"
1.6232,5e-05,0.65,5.069286105017994,9350,299200,"GPT2-Medium"
1.5854,5e-05,0.65,4.881243485459497,9400,300800,"GPT2-Medium"
1.6176,5e-05,0.65,5.040977441068887,9450,302400,"GPT2-Medium"
1.6191,5e-05,0.66,5.048544581166725,9500,304000,"GPT2-Medium"
1.596,5e-05,0.66,4.933259866177374,9550,305600,"GPT2-Medium"
1.6103,5e-05,0.66,5.004312296350958,9600,307200,"GPT2-Medium"
1.6132,5e-05,0.67,5.018845865500033,9650,308800,"GPT2-Medium"
1.5995,5e-05,0.67,4.950556527208795,9700,310400,"GPT2-Medium"
1.6409,5e-05,0.67,5.159811253265839,9750,312000,"GPT2-Medium"
1.6211,5e-05,0.68,5.058651774152981,9800,313600,"GPT2-Medium"
1.6119,5e-05,0.68,5.012325604962503,9850,315200,"GPT2-Medium"
1.6153,5e-05,0.68,5.029396516123374,9900,316800,"GPT2-Medium"
1.5853,5e-05,0.69,4.8807553855163555,9950,318400,"GPT2-Medium"
1.5935,5e-05,0.69,4.9209421201100065,10000,320000,"GPT2-Medium"
1.6104,5e-05,0.69,5.004812752602988,10050,321600,"GPT2-Medium"
1.6116,5e-05,0.7,5.010822132813112,10100,323200,"GPT2-Medium"
1.6289,5e-05,0.7,5.098263543058642,10150,324800,"GPT2-Medium"
1.5997,5e-05,0.71,4.9515467375319675,10200,326400,"GPT2-Medium"
1.5694,5e-05,0.71,4.803765069882574,10250,328000,"GPT2-Medium"
1.5822,5e-05,0.71,4.865648471635888,10300,329600,"GPT2-Medium"
1.5661,5e-05,0.72,4.787938772904338,10350,331200,"GPT2-Medium"
1.5938,5e-05,0.72,4.922418624210581,10400,332800,"GPT2-Medium"
1.5854,5e-05,0.72,4.881243485459497,10450,334400,"GPT2-Medium"
1.6054,5e-05,0.73,4.979851144862652,10500,336000,"GPT2-Medium"
1.5999,5e-05,0.73,4.952537145917012,10550,337600,"GPT2-Medium"
1.611,5e-05,0.73,5.007816541301046,10600,339200,"GPT2-Medium"
1.5467,5e-05,0.74,4.695947956747251,10650,340800,"GPT2-Medium"
1.5892,5e-05,0.74,4.899827497965248,10700,342400,"GPT2-Medium"
1.5693,5e-05,0.74,4.803284717393611,10750,344000,"GPT2-Medium"
1.5892,5e-05,0.75,4.899827497965248,10800,345600,"GPT2-Medium"
1.6035,5e-05,0.75,4.970398410628632,10850,347200,"GPT2-Medium"
1.5689,5e-05,0.75,4.801363787718201,10900,348800,"GPT2-Medium"
1.5298,5e-05,0.76,4.6172532792927,10950,350400,"GPT2-Medium"
1.5772,5e-05,0.76,4.84138094864251,11000,352000,"GPT2-Medium"
1.5524,5e-05,0.76,4.722791290924828,11050,353600,"GPT2-Medium"
1.541,5e-05,0.77,4.669257194331875,11100,355200,"GPT2-Medium"
1.5454,5e-05,0.77,4.689847190760562,11150,356800,"GPT2-Medium"
1.5762,5e-05,0.77,4.836541987577648,11200,358400,"GPT2-Medium"
1.5453,5e-05,0.78,4.6893782294899395,11250,360000,"GPT2-Medium"
1.5547,5e-05,0.78,4.733666212259463,11300,361600,"GPT2-Medium"
1.575,5e-05,0.78,4.830741618110278,11350,363200,"GPT2-Medium"
1.5779,5e-05,0.79,4.844771101721707,11400,364800,"GPT2-Medium"
1.5781,5e-05,0.79,4.845740152843933,11450,366400,"GPT2-Medium"
1.5583,5e-05,0.79,4.750738121622793,11500,368000,"GPT2-Medium"
1.537,5e-05,0.8,4.650617469856458,11550,369600,"GPT2-Medium"
1.5547,5e-05,0.8,4.733666212259463,11600,371200,"GPT2-Medium"
1.5368,5e-05,0.81,4.649687439368636,11650,372800,"GPT2-Medium"
1.5115,5e-05,0.81,4.533525985625109,11700,374400,"GPT2-Medium"
1.5416,5e-05,0.81,4.672059589282888,11750,376000,"GPT2-Medium"
1.5673,5e-05,0.82,4.79368774812708,11800,377600,"GPT2-Medium"
1.5488,5e-05,0.82,4.705819809273668,11850,379200,"GPT2-Medium"
1.559,5e-05,0.82,4.7540648025104,11900,380800,"GPT2-Medium"
1.5494,5e-05,0.83,4.708644148376233,11950,382400,"GPT2-Medium"
1.5326,5e-05,0.83,4.630199705012396,12000,384000,"GPT2-Medium"
1.5647,5e-05,0.83,4.781240348613352,12050,385600,"GPT2-Medium"
1.5164,5e-05,0.84,4.5557947769372635,12100,387200,"GPT2-Medium"
1.5716,5e-05,0.84,4.8143449866775585,12150,388800,"GPT2-Medium"
1.5392,5e-05,0.84,4.660860091042256,12200,390400,"GPT2-Medium"
1.5602,5e-05,0.85,4.7597731045696525,12250,392000,"GPT2-Medium"
1.5578,5e-05,0.85,4.748363346305286,12300,393600,"GPT2-Medium"
1.5208,5e-05,0.85,4.575884438800577,12350,395200,"GPT2-Medium"
1.5164,5e-05,0.86,4.5557947769372635,12400,396800,"GPT2-Medium"
1.5217,5e-05,0.86,4.58000458858479,12450,398400,"GPT2-Medium"
1.5415,5e-05,0.86,4.671592406683479,12500,400000,"GPT2-Medium"
1.5268,5e-05,0.87,4.6034222763325126,12550,401600,"GPT2-Medium"
1.5475,5e-05,0.87,4.699706218216797,12600,403200,"GPT2-Medium"
1.5163,5e-05,0.87,4.5553392202377845,12650,404800,"GPT2-Medium"
1.5282,5e-05,0.88,4.609871580979244,12700,406400,"GPT2-Medium"
1.5533,5e-05,0.88,4.727043716391082,12750,408000,"GPT2-Medium"
